symbol,name,exchange,country,assigned_focus_sector,source_sector,source_industry,flag,suggested_action,note
ABNB,"Airbnb, Inc. Class A",NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services,wrong_focus_label,relabel to luxury_consumer,"Still in focus either way: label only, no verdict change"
ADE.OL,ADEVINTA ASA,OSL,Norway,entertainment_media,Communication Services,Diversified Telecommunication Services,dead_ticker,remove,Adevinta taken private (2024)
ADEO.OL,ADEVINTA ASA,OSL,Norway,entertainment_media,Communication Services,Diversified Telecommunication Services,dead_ticker,remove,Adevinta taken private (2024)
ASTS,"AST SpaceMobile, Inc.",NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services,decision_telecom,your call (suggest out),"Telecom carrier or tower company, filed as entertainment_media"
BOL.PA,Bolloré SE,PAR,France,entertainment_media,Communication Services,Entertainment,check,your call,"Conglomerate (logistics, media holdings)"
CHTR,"Charter Communications, Inc. Class A",NMS,United States,entertainment_media,Communication Services,Entertainment,decision_cable,your call,Cable operator (CMCSA also owns NBCUniversal)
CLN-D.MC,Cellnex Telecom S.A.,MCE,Spain,entertainment_media,Communication Services,Diversified Telecommunication Services,decision_telecom,your call (suggest out),"Telecom carrier or tower company, filed as entertainment_media"
CLNX.MC,Cellnex Telecom S.A.,MCE,Spain,entertainment_media,Communication Services,Diversified Telecommunication Services,duplicate_listing,remove,Same company as CLN-D.MC; keep one primary listing
CMCSA,Comcast Corporation,NMS,United States,entertainment_media,Communication Services,Entertainment,decision_cable,your call,Cable operator (CMCSA also owns NBCUniversal)
DASH,"DoorDash, Inc.",NYQ,United States,entertainment_media,Communication Services,Diversified Telecommunication Services,wrong_focus_label,relabel to luxury_consumer,"Still in focus either way: label only, no verdict change"
DIS,Walt Disney Company,NYQ,United States,entertainment_media,Communication Services,Entertainment,,,
DISCB,"Discovery, Inc.",NMS,United States,entertainment_media,Communication Services,Entertainment,dead_ticker,remove,Discovery merged into WBD (2022)
DISCK,"Discovery, Inc.",NMS,United States,entertainment_media,Communication Services,Entertainment,dead_ticker,remove,Discovery merged into WBD (2022)
DTE.DE,Deutsche Telekom AG,GER,Germany,entertainment_media,Communication Services,Diversified Telecommunication Services,decision_telecom,your call (suggest out),"Telecom carrier or tower company, filed as entertainment_media"
DTE.F,Deutsche Telekom AG,FRA,Germany,entertainment_media,Communication Services,Diversified Telecommunication Services,duplicate_listing,remove,Same company as DTE.DE; keep one primary listing
DTEA.DE,Deutsche Telekom AG,GER,Germany,entertainment_media,Communication Services,Diversified Telecommunication Services,duplicate_listing,remove,Same company as DTE.DE; keep one primary listing
DTEA.F,Deutsche Telekom AG,FRA,Germany,entertainment_media,Communication Services,Diversified Telecommunication Services,duplicate_listing,remove,Same company as DTE.DE; keep one primary listing
EA,Electronic Arts Inc.,NMS,United States,entertainment_media,Communication Services,Interactive Media & Services,,,
EMBRAC-B.ST,Embracer Group AB (publ),STO,Sweden,entertainment_media,Communication Services,Interactive Media & Services,,,
FLUT,Flutter Entertainment plc Ordinary Shares,NYQ,United States,entertainment_media,Communication Services,Diversified Telecommunication Services,wrong_focus_label,relabel to luxury_consumer,"Still in focus either way: label only, no verdict change"
