symbol,name,exchange,country,assigned_focus_sector,source_sector,source_industry
ABNB,"Airbnb, Inc. Class A",NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
ADE.OL,ADEVINTA ASA,OSL,Norway,entertainment_media,Communication Services,Diversified Telecommunication Services
ADEO.OL,ADEVINTA ASA,OSL,Norway,entertainment_media,Communication Services,Diversified Telecommunication Services
ASTS,"AST SpaceMobile, Inc.",NMS,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
BOL.PA,Bolloré SE,PAR,France,entertainment_media,Communication Services,Entertainment
CHTR,"Charter Communications, Inc. Class A",NMS,United States,entertainment_media,Communication Services,Entertainment
CLN-D.MC,Cellnex Telecom S.A.,MCE,Spain,entertainment_media,Communication Services,Diversified Telecommunication Services
CLNX.MC,Cellnex Telecom S.A.,MCE,Spain,entertainment_media,Communication Services,Diversified Telecommunication Services
CMCSA,Comcast Corporation,NMS,United States,entertainment_media,Communication Services,Entertainment
DASH,"DoorDash, Inc.",NYQ,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
DIS,Walt Disney Company,NYQ,United States,entertainment_media,Communication Services,Entertainment
DISCB,"Discovery, Inc.",NMS,United States,entertainment_media,Communication Services,Entertainment
DISCK,"Discovery, Inc.",NMS,United States,entertainment_media,Communication Services,Entertainment
DTE.DE,Deutsche Telekom AG,GER,Germany,entertainment_media,Communication Services,Diversified Telecommunication Services
DTE.F,Deutsche Telekom AG,FRA,Germany,entertainment_media,Communication Services,Diversified Telecommunication Services
DTEA.DE,Deutsche Telekom AG,GER,Germany,entertainment_media,Communication Services,Diversified Telecommunication Services
DTEA.F,Deutsche Telekom AG,FRA,Germany,entertainment_media,Communication Services,Diversified Telecommunication Services
EA,Electronic Arts Inc.,NMS,United States,entertainment_media,Communication Services,Interactive Media & Services
EMBRAC-B.ST,Embracer Group AB (publ),STO,Sweden,entertainment_media,Communication Services,Interactive Media & Services
FLUT,Flutter Entertainment plc Ordinary Shares,NYQ,United States,entertainment_media,Communication Services,Diversified Telecommunication Services
